Name,Readability,Understandability,Maintainability
1_cpp.cpp,80,90,70
1_java.java,80,90,70
1_py.py,80,90,70
2_cpp.cpp,90,95,90
2_java.java,90,95,90
2_py.py,85,90,80
3_cpp.cpp,90,80,50
3_java.java,90,85,50
3_py.py,90,85,50
4_cpp.cpp,85,90,90
4_java.java,90,90,90
4_py.py,90,90,90
5_cpp.cpp,95,95,95
5_java.java,95,95,95
5_py.py,95,95,95
6_cpp.cpp,95,95,95
6_java.java,95,95,95
6_py.py,95,95,95
7_cpp.cpp,85,80,85
7_java.java,90,90,90
7_py.py,95,85,90
8_cpp.cpp,100,100,100
8_java.java,100,95,95
8_py.py,100,100,100
9_cpp.cpp,95,95,95
9_java.java,100,100,100
9_py.py,100,100,100
10_cpp.cpp,80,60,50
10_java.java,80,60,50
10_py.py,90,70,60
11_cpp.cpp,85,90,85
11_java.java,85,90,85
11_py.py,90,90,85
12_cpp.cpp,90,85,70
12_java.java,90,85,70
12_py.py,95,85,70
13_cpp.cpp,70,75,80
13_java.java,80,85,80
13_py.py,85,85,60
14_cpp.cpp,85,85,50
14_java.java,85,85,50
14_py.py,85,85,50
15_cpp.cpp,80,85,80
15_java.java,80,85,80
15_py.py,80,85,80
16_cpp.cpp,80,85,80
16_java.java,80,85,80
16_py.py,80,85,80
17_cpp.cpp,75,75,80
17_java.java,75,80,85
17_py.py,80,85,85
18_cpp.cpp,70,75,70
18_java.java,70,75,70
18_py.py,80,80,70
19_cpp.cpp,70,70,75
19_java.java,70,70,70
19_py.py,70,70,70
20_cpp.cpp,85,90,80
20_java.java,85,90,80
20_py.py,90,90,85
21_cpp.cpp,75,70,60
21_java.java,85,80,60
21_py.py,80,75,60
22_cpp.cpp,80,85,90
22_java.java,100,100,100
22_py.py,100,100,100
23_cpp.cpp,80,70,50
23_java.java,85,75,50
23_py.py,90,75,45
24_cpp.cpp,70,70,70
24_java.java,85,85,70
24_py.py,85,80,60
25_cpp.cpp,80,70,70
25_java.java,80,70,80
25_py.py,80,80,60
26_cpp.cpp,80,80,75
26_java.java,80,90,75
26_py.py,80,90,75
27_cpp.cpp,70,65,70
27_java.java,80,85,75
27_py.py,85,85,75
28_cpp.cpp,90,90,95
28_java.java,90,90,95
28_py.py,100,100,100
29_cpp.cpp,90,85,90
29_java.java,100,90,90
29_py.py,100,90,100
30_cpp.cpp,80,90,90
30_java.java,80,90,90
30_py.py,80,90,90
31_cpp.cpp,75,70,50
31_java.java,75,70,50
31_py.py,75,70,50
32_cpp.cpp,75,70,45
32_java.java,75,70,45
32_py.py,75,70,45
33_cpp.cpp,90,85,70
33_java.java,85,85,90
33_py.py,85,85,80
34_cpp.cpp,90,85,70
34_java.java,85,85,90
34_py.py,85,85,80
35_cpp.cpp,80,80,70
35_java.java,80,80,80
35_py.py,80,70,60
36_cpp.cpp,80,80,80
36_java.java,80,80,90
36_py.py,80,70,50
37_cpp.cpp,80,70,80
37_java.java,80,75,80
37_py.py,90,75,80
38_cpp.cpp,80,70,80
38_java.java,80,75,80
38_py.py,90,75,70
39_cpp.cpp,80,75,70
39_java.java,80,75,75
39_py.py,80,75,70
40_cpp.cpp,80,70,70
40_java.java,80,70,70
40_py.py,80,70,70
41_cpp.cpp,80,80,50
41_java.java,80,80,50
41_py.py,80,80,50
42_cpp.cpp,80,80,80
42_java.java,80,80,80
42_py.py,80,80,80
43_cpp.cpp,80,80,80
43_java.java,80,80,80
43_py.py,80,80,80
44_cpp.cpp,80,80,80
44_java.java,80,80,80
44_py.py,80,80,80
45_cpp.cpp,70,70,70
45_java.java,70,70,70
45_py.py,75,70,75
46_cpp.cpp,70,70,50
46_java.java,70,70,50
46_py.py,70,70,50
47_cpp.cpp,70,70,70
47_java.java,70,70,70
47_py.py,75,70,75
48_cpp.cpp,70,70,70
48_java.java,70,70,70
48_py.py,75,70,75
49_cpp.cpp,80,80,75
49_java.java,80,80,75
49_py.py,80,80,75
50_cpp.cpp,85,85,75
50_java.java,80,85,75
50_py.py,80,85,75
51_cpp.cpp,85,90,75
51_java.java,85,90,75
51_py.py,85,90,75
52_cpp.cpp,85,90,75
52_java.java,85,90,75
52_py.py,85,90,75
53_cpp.cpp,90,100,60
53_java.java,90,100,60
53_py.py,90,100,60
54_cpp.cpp,90,95,100
54_java.java,90,95,100
54_py.py,90,95,100
55_cpp.cpp,100,95,65
55_java.java,100,95,65
55_py.py,100,95,60
56_cpp.cpp,100,95,95
56_java.java,100,95,95
56_py.py,100,95,90
57_cpp.cpp,80,100,80
57_java.java,80,100,80
57_py.py,80,100,80
58_cpp.cpp,80,100,95
58_java.java,80,100,95
58_py.py,80,100,95
59_cpp.cpp,90,100,90
59_java.java,90,100,90
59_py.py,90,100,90
60_cpp.cpp,90,100,95
60_java.java,90,100,95
60_py.py,90,100,95
61_cpp.cpp,95,90,75
61_java.java,95,90,75
61_py.py,95,90,75
62_cpp.cpp,90,100,100
62_java.java,90,100,100
62_py.py,90,100,100
63_cpp.cpp,90,100,95
63_java.java,90,100,95
63_py.py,90,100,95
64_cpp.cpp,95,100,100
64_java.java,95,100,100
64_py.py,95,100,100
65_cpp.cpp,95,100,95
65_java.java,95,100,95
65_py.py,95,100,95
66_cpp.cpp,90,95,85
66_java.java,90,95,85
66_py.py,90,95,85
67_cpp.cpp,80,90,80
67_java.java,80,90,80
67_py.py,80,90,80
68_cpp.cpp,90,100,90
68_java.java,90,100,90
68_py.py,90,100,90
69_cpp.cpp,95,100,50
69_java.java,95,100,50
69_py.py,95,100,85
70_cpp.cpp,80,80,90
70_java.java,85,90,90
70_py.py,85,90,90
