Record,Evaluator,Readability,Understandability,Maintainability
1_java,Human1,85,90,50
1_java,Human2,80,90,70
1_java,Human3,85,90,55
1_cpp,Human1,85,90,50
1_cpp,Human2,80,90,70
1_cpp,Human3,85,90,55
1_py,Human1,85,90,50
1_py,Human2,80,90,70
1_py,Human3,85,90,55
2_java,Human1,90,100,95
2_java,Human2,90,95,90
2_java,Human3,90,95,95
2_cpp,Human1,90,100,95
2_cpp,Human2,90,95,90
2_cpp,Human3,90,95,95
2_py,Human1,85,100,90
2_py,Human2,85,90,80
2_py,Human3,90,95,95
3_java,Human1,95,85,50
3_java,Human2,90,85,50
3_java,Human3,90,85,50
3_cpp,Human1,95,85,50
3_cpp,Human2,90,80,50
3_cpp,Human3,90,85,50
3_py,Human1,95,85,50
3_py,Human2,90,85,50
3_py,Human3,90,85,50
4_java,Human1,85,80,50
4_java,Human2,90,90,90
4_java,Human3,85,80,60
4_cpp,Human1,85,80,50
4_cpp,Human2,85,90,90
4_cpp,Human3,85,80,60
4_py,Human1,85,80,50
4_py,Human2,90,90,90
4_py,Human3,85,80,60
5_java,Human1,85,80,90
5_java,Human2,95,95,95
5_java,Human3,80,80,90
5_cpp,Human1,85,80,90
5_cpp,Human2,95,95,95
5_cpp,Human3,80,80,90
5_py,Human1,85,80,90
5_py,Human2,95,95,95
5_py,Human3,80,80,90
6_java,Human1,85,80,80
6_java,Human2,95,95,95
6_java,Human3,80,80,80
6_cpp,Human1,85,80,80
6_cpp,Human2,95,95,95
6_cpp,Human3,80,80,80
6_py,Human1,85,80,80
6_py,Human2,95,95,95
6_py,Human3,80,80,80
7_java,Human1,90,80,50
7_java,Human2,90,90,90
7_java,Human3,90,80,50
7_cpp,Human1,95,95,85
7_cpp,Human2,85,80,85
7_cpp,Human3,95,95,85
7_py,Human1,95,95,85
7_py,Human2,95,85,90
7_py,Human3,95,95,85
8_java,Human1,85,80,70
8_java,Human2,100,95,95
8_java,Human3,85,80,80
8_cpp,Human1,85,80,70
8_cpp,Human2,100,100,100
8_cpp,Human3,85,80,80
8_py,Human1,85,80,70
8_py,Human2,100,100,100
8_py,Human3,85,80,80
9_java,Human1,85,90,75
9_java,Human2,100,100,100
9_java,Human3,85,85,80
9_cpp,Human1,85,90,75
9_cpp,Human2,95,95,95
9_cpp,Human3,85,85,80
9_py,Human1,85,90,75
9_py,Human2,100,100,100
9_py,Human3,85,85,80
10_java,Human1,70,60,30
10_java,Human2,80,60,50
10_java,Human3,70,60,50
10_cpp,Human1,70,60,30
10_cpp,Human2,80,60,50
10_cpp,Human3,70,60,50
10_py,Human1,70,60,30
10_py,Human2,90,70,60
10_py,Human3,70,60,50
11_java,Human1,90,85,85
11_java,Human2,85,90,85
11_java,Human3,90,90,85
11_cpp,Human1,90,85,85
11_cpp,Human2,85,90,85
11_cpp,Human3,90,90,85
11_py,Human1,90,85,85
11_py,Human2,90,90,85
11_py,Human3,90,90,85
12_java,Human1,90,75,60
12_java,Human2,90,85,70
12_java,Human3,90,75,65
12_cpp,Human1,90,75,60
12_cpp,Human2,90,85,70
12_cpp,Human3,90,75,65
12_py,Human1,90,85,60
